Drop in people coming to UK to work in NHS and social care
Waitrose to open 100 new convenience shops
Commencement speech: The surprising pitfall of your passions
Tributes paid to 'UK's greatest tech entrepreneur'
Who benefits from Lesotho’s ‘white gold’?
Canada rail shutdown threatens US supply chains
Singer wins £20k payout from music company
How industry leaders transformed their career
Cost of public services drives up UK government borrowing
Aly Raisman on competing at the highest level
More news
Canada orders freight back on track to end rail stoppage
Typical household energy bill up £149 a year in October
Yemen weapons dealers selling machine guns on X
Influential with Katty Kay
Four simple hacks to succeed in every conversation
How waiting alters our perception of time
Child benefit claims rise after income rule change
More in Business
Solo and hybrid work: Navigating our future and new normal
How does government borrowing work?
Plan to hike UK windfall tax sparks energy jobs warning
"Starbucks' new boss under fire for 1,000-mile commute"
McDonald's to open 200 new restaurants in growth drive
"Bangladesh to raise rates, says new bank chief"
Veterinarian suicide rates are very high. Why?
World's second-largest diamond found in Botswana
Good Bad Billionaire
Follow BBC on:
Watch
Olympic legend Lindsey Vonn explains the mindset of a winner
Unruly passenger on your flight? The FBI is looking into it
Jobs report revisions stoke politics around US economy
Playing with FIRE: How to quit work and retire in your 30s
Shein reveals child labour cases at suppliers
A desk full of descriptions for your work colleagues
Ford scales back EV plans citing price pressures
Executive Lounge
Featured podcast
ASMR: How whispering took over the internet
Do the super-rich 'deserve' their wealth?
Jackie Joyner-Kersee's gold-medal attitude
'Being evicted absolutely destroyed me as a mother'
Boomerang CEOs: Do they ever succeed?
Can supersonic flight ever be sustainable?
Crew of oil tanker rescued after multiple attacks in Red Sea
Why Zoom wants you to go back to the office
Women were the original beer brewers - what changed?
